Any,Codi_districte,Nom_districte,Codi_barri,Nom_barri,Seccio_censal,Desc_tipus_propietari,Concepte,Nombre
2021,1,Ciutat Vella,1,el Raval,1,Persona Física - Espanyola,Superfície_m2,25397
2021,1,Ciutat Vella,1,el Raval,1,Persona Física - Estrangera,Superfície_m2,6776
2021,1,Ciutat Vella,1,el Raval,1,Soc. anònimes,Superfície_m2,1353
2021,1,Ciutat Vella,1,el Raval,1,Soc. responsabilitat limitada / civil,Superfície_m2,12038
2021,1,Ciutat Vella,1,el Raval,1,Entitats estrangeres,Superfície_m2,128
2021,1,Ciutat Vella,1,el Raval,1,Organismes públics,Superfície_m2,15898
2021,1,Ciutat Vella,1,el Raval,1,Institucions religioses,Superfície_m2,248
2021,1,Ciutat Vella,1,el Raval,1,No consta,Superfície_m2,292
2021,1,Ciutat Vella,1,el Raval,2,Persona Física - Espanyola,Superfície_m2,23748
2021,1,Ciutat Vella,1,el Raval,2,Persona Física - Estrangera,Superfície_m2,4423
2021,1,Ciutat Vella,1,el Raval,2,Soc. anònimes,Superfície_m2,1089
2021,1,Ciutat Vella,1,el Raval,2,Soc. responsabilitat limitada / civil,Superfície_m2,12388
2021,1,Ciutat Vella,1,el Raval,2,Entitats estrangeres,Superfície_m2,968
2021,1,Ciutat Vella,1,el Raval,2,Organismes públics,Superfície_m2,7892
2021,1,Ciutat Vella,1,el Raval,2,Altres societats i associacions,Superfície_m2,567
2021,1,Ciutat Vella,1,el Raval,2,No consta,Superfície_m2,229
2021,1,Ciutat Vella,1,el Raval,3,Persona Física - Espanyola,Superfície_m2,46811
2021,1,Ciutat Vella,1,el Raval,3,Persona Física - Estrangera,Superfície_m2,8295
2021,1,Ciutat Vella,1,el Raval,3,Soc. anònimes,Superfície_m2,3276
2021,1,Ciutat Vella,1,el Raval,3,Soc. responsabilitat limitada / civil,Superfície_m2,9659
2021,1,Ciutat Vella,1,el Raval,3,Organismes públics,Superfície_m2,8846
2021,1,Ciutat Vella,1,el Raval,3,Institucions religioses,Superfície_m2,485
2021,1,Ciutat Vella,1,el Raval,3,Altres tipus no definits / UTE,Superfície_m2,157
